conquer;197;33
conquer;113;27
conquer;65;153
conquer;66;162
conquer;159;201
conquer;114;175
conquer;139;196
conquer;44;136
conquer;22;15
conquer;134;20
conquer;152;14
conquer;11;8
conquer;97;163
conquer;146;50
conquer;74;34
conquer;53;205
conquer;113;166
conquer;86;87
conquer;39;123
conquer;142;88
conquer;11;67
conquer;104;165
conquer;32;134
conquer;145;198
conquer;6;64
conquer;189;200
conquer;160;14
conquer;113;83
conquer;131;60
conquer;131;148
conquer;97;110
conquer;151;21
conquer;156;194
conquer;140;1
conquer;54;65
conquer;66;75
conquer;35;13
conquer;142;93
conquer;29;69
conquer;151;204
conquer;94;199
conquer;139;14
conquer;142;44
conquer;99;184
conquer;56;101
conquer;135;123
conquer;18;130
conquer;112;164
conquer;6;58
conquer;92;172
conquer;104;157
conquer;74;66
conquer;62;4
conquer;74;165
conquer;53;87
conquer;160;14
conquer;142;102
conquer;131;169
conquer;74;75
conquer;37;36
conquer;46;30
conquer;56;107
conquer;180;138
conquer;35;43
conquer;131;200
conquer;92;135
conquer;46;156
conquer;89;201
conquer;160;98
conquer;35;91
conquer;142;51
conquer;122;4
conquer;99;1
conquer;203;100
conquer;180;61
conquer;9;187
conquer;113;147
conquer;177;76
conquer;56;17
conquer;95;194
conquer;82;175
conquer;86;87
conquer;140;1
conquer;160;152
conquer;134;134
conquer;18;108
conquer;46;185
conquer;188;29
conquer;32;54
conquer;192;136
conquer;46;194
conquer;104;90
conquer;161;87
conquer;82;114
conquer;104;165
conquer;35;77
conquer;180;56
conquer;113;31
conquer;207;48
conquer;173;194
conquer;81;59
conquer;68;108
conquer;28;110
conquer;74;165
conquer;104;165
conquer;191;116
conquer;176;173
conquer;85;11
conquer;24;42
conquer;92;183
conquer;125;70
conquer;104;106
conquer;11;11
conquer;82;139
conquer;134;188
conquer;104;128
conquer;72;81
conquer;35;78
conquer;146;40
conquer;84;98
conquer;144;120
conquer;134;69
conquer;92;147
conquer;32;65
conquer;25;128
conquer;56;56
conquer;171;103
conquer;182;85
conquer;113;203
conquer;112;185
conquer;49;77
conquer;72;59
conquer;92;79
conquer;11;85
conquer;28;97
conquer;178;72
conquer;131;96
conquer;73;19
conquer;118;114
conquer;25;5
conquer;113;186
conquer;177;63
conquer;171;179
conquer;72;161
conquer;35;77
conquer;46;153
conquer;113;100
conquer;94;99
conquer;95;194
conquer;82;129
conquer;39;123
conquer;140;184
conquer;142;136
conquer;92;109
conquer;160;98
conquer;197;119
conquer;6;118
conquer;25;171
conquer;139;152
conquer;105;51
conquer;68;18
conquer;82;114
conquer;9;144
indep;13;35
conquer;180;56
conquer;113;127
conquer;112;30
conquer;72;72
conquer;24;124
conquer;6;111
conquer;28;2
conquer;41;143
conquer;38;7
conquer;82;15
conquer;177;190
conquer;168;10
conquer;74;162
conquer;32;153
conquer;142;192
conquer;94;184
conquer;197;73
conquer;82;22
conquer;142;67
conquer;150;70
conquer;25;208
conquer;209;126
conquer;62;4
conquer;180;178
conquer;145;7
conquer;52;73
conquer;74;165
conquer;113;15
conquer;82;15
conquer;28;163
conquer;25;46
conquer;82;140
indep;29;188
conquer;71;110
conquer;139;139
conquer;117;34
conquer;39;155
conquer;168;45
conquer;195;121
conquer;74;104
conquer;140;99
conquer;140;140
conquer;160;152
conquer;171;171
conquer;6;7
conquer;105;116
conquer;32;46
conquer;139;152
conquer;74;117
conquer;112;156
conquer;35;49
conquer;62;122
conquer;68;130
conquer;131;158
conquer;134;29
conquer;35;133
conquer;28;110
conquer;170;48
conquer;113;109
conquer;28;154
conquer;209;112
conquer;177;16
conquer;139;14
conquer;142;182
conquer;145;7
conquer;32;36
conquer;6;164
conquer;140;184
conquer;146;143
conquer;146;41
conquer;11;67
conquer;113;79
conquer;82;140
conquer;191;3
conquer;140;199
conquer;82;139
conquer;35;43
conquer;134;90
conquer;170;57
conquer;35;13
conquer;113;187
conquer;53;87
